Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
36,US-0467,2020-01-31,2020-02-01,Same Day,CG-00354,Customer 354,Home Office,United States,Wisconsin,Wisconsin,36812,Central,FUR-OFF-0034,Office Supplies,Binders,Binders Model 4,57.24,2,0.0,11.33
37,US-0971,2020-01-31,2020-02-06,Standard Class,CG-00184,Customer 184,Home Office,United States,Texas,Texas,32245,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,186.7,1,0.05,31.76
38,US-0757,2020-02-02,2020-02-02,Same Day,CG-00010,Customer 10,Corporate,United States,Georgia,Georgia,64154,South,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,13.32,4,0.0,2.85
39,US-0148,2020-02-02,2020-02-04,Same Day,CG-00336,Customer 336,Home Office,United States,Georgia,Georgia,20084,South,FUR-OFF-0055,Office Supplies,Paper,Paper Model 5,70.0,3,0.1,21.5
40,US-0757,2020-02-02,2020-02-02,Same Day,CG-00010,Customer 10,Corporate,United States,Georgia,Georgia,10560,South,FUR-FUR-0003,Furniture,Bookcases,Bookcases Model 3,314.24,1,0.2,35.76
41,US-0694,2020-02-03,2020-02-10,Standard Class,CG-00279,Customer 279,Consumer,United States,Illinois,Illinois,15932,Central,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,8.99,3,0.1,0.86
42,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,65191,East,FUR-OFF-0036,Office Supplies,Envelopes,Envelopes Model 1,21.27,2,0.15,3.11
43,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,55789,East,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,47.36,4,0.0,4.25
44,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,48626,East,FUR-FUR-0008,Furniture,Chairs,Chairs Model 3,699.63,1,0.0,145.75
45,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,17322,East,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,2.1,1,0.0,0.17
46,US-0698,2020-02-06,2020-02-11,Standard Class,CG-00216,Customer 216,Corporate,United States,Georgia,Georgia,63096,South,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,436.75,2,0.1,97.09
47,US-0548,2020-02-08,2020-02-09,First Class,CG-00327,Customer 327,Corporate,United States,Colorado,Colorado,97111,West,FUR-OFF-0021,Office Supplies,Appliances,Appliances Model 1,378.76,1,0.0,102.59
48,US-0548,2020-02-08,2020-02-09,First Class,CG-00327,Customer 327,Corporate,United States,Colorado,Colorado,53231,West,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,3.27,1,0.0,1.01
49,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,52568,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,196.52,1,0.0,65.36
50,US-1098,2020-02-08,2020-02-10,First Class,CG-00141,Customer 141,Corporate,United States,Pennsylvania,Pennsylvania,34173,East,FUR-OFF-0062,Office Supplies,Supplies,Supplies Model 2,7.42,1,0.1,0.78
51,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,47947,South,FUR-TEC-0070,Technology,Accessories,Accessories Model 5,799.73,3,0.1,205.01
52,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,63008,South,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,5.56,2,0.15,0.28
53,US-0239,2020-02-10,2020-02-13,Second Class,CG-00393,Customer 393,Home Office,United States,Wisconsin,Wisconsin,54663,Central,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,6.66,2,0.0,1.99
54,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,56818,East,FUR-FUR-0013,Furniture,Tables,Tables Model 3,3380.04,2,0.0,-42.24
55,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,85705,East,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,485.27,2,0.0,106.36
56,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,57109,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,243.71,3,0.2,24.16
57,US-0124,2020-02-16,2020-02-17,Same Day,CG-00298,Customer 298,Consumer,United States,New York,New York,70375,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,328.53,3,0.0,51.11
58,US-0124,2020-02-16,2020-02-17,Same Day,CG-00298,Customer 298,Consumer,United States,New York,New York,59712,East,FUR-OFF-0052,Office Supplies,Paper,Paper Model 2,54.62,2,0.15,16.39
59,US-0600,2020-02-16,2020-02-22,Standard Class,CG-00382,Customer 382,Consumer,United States,Georgia,Georgia,61697,South,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,32.35,5,0.15,11.04
60,US-0600,2020-02-16,2020-02-22,Standard Class,CG-00382,Customer 382,Consumer,United States,Georgia,Georgia,89058,South,FUR-OFF-0030,Office Supplies,Art,Art Model 5,6.74,1,0.05,1.55
61,US-1005,2020-02-17,2020-02-20,Second Class,CG-00043,Customer 43,Home Office,United States,New Jersey,New Jersey,13866,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,101.54,1,0.0,-3.76
62,US-0795,2020-02-20,2020-02-25,Standard Class,CG-00044,Customer 44,Corporate,United States,Arizona,Arizona,48603,West,FUR-FUR-0013,Furniture,Tables,Tables Model 3,1690.02,1,0.0,4.96
63,US-0073,2020-02-23,2020-02-25,First Class,CG-00177,Customer 177,Consumer,United States,New York,New York,44311,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,406.18,4,0.0,59.95
64,US-0073,2020-02-23,2020-02-25,First Class,CG-00177,Customer 177,Consumer,United States,New York,New York,38124,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,295.68,3,0.1,39.17
65,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,69468,East,FUR-OFF-0065,Office Supplies,Supplies,Supplies Model 5,25.38,3,0.0,2.46
66,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,34452,East,FUR-OFF-0025,Office Supplies,Appliances,Appliances Model 5,550.92,2,0.05,179.59
67,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,48918,East,FUR-TEC-0079,Technology,Machines,Machines Model 4,1139.55,1,0.0,467.96
68,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,13314,East,FUR-OFF-0040,Office Supplies,Envelopes,Envelopes Model 5,6.95,1,0.1,1.11
69,US-0852,2020-03-01,2020-03-05,Second Class,CG-00052,Customer 52,Corporate,United States,Utah,Utah,18002,West,FUR-OFF-0035,Office Supplies,Binders,Binders Model 5,87.22,3,0.0,4.57
70,US-0210,2020-03-01,2020-03-07,Standard Class,CG-00275,Customer 275,Consumer,United States,Indiana,Indiana,92251,Central,FUR-OFF-0053,Office Supplies,Paper,Paper Model 3,32.2,1,0.15,9.36
71,US-0229,2020-03-01,2020-03-07,Standard Class,CG-00279,Customer 279,Consumer,United States,Illinois,Illinois,46042,Central,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,3.27,1,0.0,0.67
72,US-0459,2020-03-01,2020-03-02,Same Day,CG-00388,Customer 388,Corporate,United States,Oregon,Oregon,96105,West,FUR-OFF-0044,Office Supplies,Fasteners,Fasteners Model 4,8.27,1,0.1,2.5
73,US-0492,2020-03-04,2020-03-10,Standard Class,CG-00241,Customer 241,Home Office,United States,Wisconsin,Wisconsin,89388,Central,FUR-TEC-0077,Technology,Machines,Machines Model 2,5608.04,3,0.2,1841.08
74,US-0492,2020-03-04,2020-03-10,Standard Class,CG-00241,Customer 241,Home Office,United States,Wisconsin,Wisconsin,25315,Central,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,6.47,1,0.15,1.8
75,US-0071,2020-03-07,2020-03-12,Second Class,CG-00336,Customer 336,Home Office,United States,Georgia,Georgia,20077,South,FUR-TEC-0083,Technology,Phones,Phones Model 3,327.92,1,0.1,43.75
76,US-0581,2020-03-07,2020-03-13,Standard Class,CG-00128,Customer 128,Home Office,United States,Ohio,Ohio,91324,Central,FUR-OFF-0061,Office Supplies,Supplies,Supplies Model 1,32.82,3,0.0,10.47
77,US-0581,2020-03-07,2020-03-13,Standard Class,CG-00128,Customer 128,Home Office,United States,Ohio,Ohio,37151,Central,FUR-TEC-0081,Technology,Phones,Phones Model 1,1391.92,2,0.2,374.97
78,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,82034,East,FUR-TEC-0082,Technology,Phones,Phones Model 2,642.13,1,0.0,169.24
79,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,71974,East,FUR-FUR-0014,Furniture,Tables,Tables Model 4,1085.65,2,0.0,212.01
80,US-0126,2020-03-09,2020-03-14,Second Class,CG-00156,Customer 156,Home Office,United States,Arizona,Arizona,38477,West,FUR-OFF-0039,Office Supplies,Envelopes,Envelopes Model 4,18.52,2,0.15,5.23
81,US-0126,2020-03-09,2020-03-14,Second Class,CG-00156,Customer 156,Home Office,United States,Arizona,Arizona,62725,West,FUR-TEC-0081,Technology,Phones,Phones Model 1,869.95,1,0.0,250.27
82,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,52344,East,FUR-FUR-0018,Furniture,Furnishings,Furnishings Model 3,150.24,1,0.1,20.54
83,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,69840,East,FUR-OFF-0036,Office Supplies,Envelopes,Envelopes Model 1,10.63,1,0.15,1.3
84,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,45705,East,FUR-OFF-0059,Office Supplies,Storage,Storage Model 4,23.92,2,0.15,5.79
85,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,80685,East,FUR-TEC-0085,Technology,Phones,Phones Model 5,690.87,2,0.0,337.79
86,US-0490,2020-03-13,2020-03-17,Second Class,CG-00317,Customer 317,Corporate,United States,Michigan,Michigan,53923,Central,FUR-TEC-0067,Technology,Accessories,Accessories Model 2,81.39,2,0.2,11.87
87,US-0986,2020-03-15,2020-03-20,Standard Class,CG-00028,Customer 28,Corporate,United States,Massachusetts,Massachusetts,88766,East,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,4.2,2,0.0,0.8
88,US-0364,2020-03-20,2020-03-23,First Class,CG-00375,Customer 375,Corporate,United States,Wisconsin,Wisconsin,80685,Central,FUR-OFF-0048,Office Supplies,Labels,Labels Model 3,9.66,1,0.15,3.09
89,US-0364,2020-03-20,2020-03-23,First Class,CG-00375,Customer 375,Corporate,United States,Wisconsin,Wisconsin,96427,Central,FUR-FUR-0013,Furniture,Tables,Tables Model 3,1352.02,1,0.2,327.59
90,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,80070,East,FUR-OFF-0058,Office Supplies,Storage,Storage Model 3,138.19,5,0.0,31.82
91,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,94202,East,FUR-OFF-0042,Office Supplies,Fasteners,Fasteners Model 2,5.46,1,0.0,1.21
92,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,92927,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,104.04,1,0.05,28.12
93,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,52540,East,FUR-OFF-0057,Office Supplies,Storage,Storage Model 2,34.13,2,0.05,9.19
94,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,37762,East,FUR-FUR-0015,Furniture,Tables,Tables Model 5,2431.88,5,0.0,-47.69
95,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,38444,East,FUR-OFF-0055,Office Supplies,Paper,Paper Model 5,44.08,2,0.15,6.85
96,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,49739,East,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,485.27,2,0.0,115.52
97,US-0327,2020-03-22,2020-03-28,Standard Class,CG-00133,Customer 133,Home Office,United States,Wisconsin,Wisconsin,96755,Central,FUR-OFF-0033,Office Supplies,Binders,Binders Model 3,12.13,3,0.15,2.28
98,US-0327,2020-03-22,2020-03-28,Standard Class,CG-00133,Customer 133,Home Office,United States,Wisconsin,Wisconsin,82110,Central,FUR-TEC-0077,Technology,Machines,Machines Model 2,1869.35,1,0.2,593.17
99,US-0223,2020-03-23,2020-03-29,Standard Class,CG-00030,Customer 30,Consumer,United States,Pennsylvania,Pennsylvania,61936,East,FUR-TEC-0080,Technology,Machines,Machines Model 5,1308.06,3,0.0,264.61
100,US-0681,2020-03-24,2020-03-29,Second Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,36703,East,FUR-FUR-0019,Furniture,Furnishings,Furnishings Model 4,140.94,1,0.0,20.62
101,US-0681,2020-03-24,2020-03-29,Second Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,29405,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,219.02,2,0.0,68.31
102,US-0782,2020-03-27,2020-03-30,Second Class,CG-00330,Customer 330,Home Office,United States,New Jersey,New Jersey,91778,East,FUR-OFF-0031,Office Supplies,Binders,Binders Model 1,34.93,2,0.1,2.54
103,US-0782,2020-03-27,2020-03-30,Second Class,CG-00330,Customer 330,Home Office,United States,New Jersey,New Jersey,53452,East,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,218.37,1,0.1,97.78
104,US-0616,2020-03-29,2020-04-05,Standard Class,CG-00203,Customer 203,Corporate,United States,Texas,Texas,88878,South,FUR-FUR-0017,Furniture,Furnishings,Furnishings Model 2,105.19,1,0.0,12.9
105,US-0568,2020-03-29,2020-04-04,Standard Class,CG-00168,Customer 168,Home Office,United States,Indiana,Indiana,90847,Central,FUR-FUR-0014,Furniture,Tables,Tables Model 4,977.09,2,0.1,-33.06
106,US-0218,2020-03-30,2020-04-01,Same Day,CG-00089,Customer 89,Consumer,United States,California,California,21128,West,FUR-TEC-0074,Technology,Copiers,Copiers Model 4,15010.48,4,0.1,3177.7
107,US-0940,2020-03-30,2020-04-04,Standard Class,CG-00177,Customer 177,Consumer,United States,New York,New York,11769,East,FUR-FUR-0010,Furniture,Chairs,Chairs Model 5,1626.95,4,0.3,43.23
108,US-0577,2020-03-31,2020-04-06,Standard Class,CG-00134,Customer 134,Consumer,United States,New Jersey,New Jersey,69302,East,FUR-FUR-0004,Furniture,Bookcases,Bookcases Model 4,339.46,1,0.0,47.78
109,US-0064,2020-03-31,2020-04-06,Standard Class,CG-00123,Customer 123,Consumer,United States,Pennsylvania,Pennsylvania,18270,East,FUR-OFF-0035,Office Supplies,Binders,Binders Model 5,58.14,2,0.0,18.36
110,US-0064,2020-03-31,2020-04-06,Standard Class,CG-00123,Customer 123,Consumer,United States,Pennsylvania,Pennsylvania,72722,East,FUR-OFF-0048,Office Supplies,Labels,Labels Model 3,10.23,1,0.1,0.62
111,US-0577,2020-03-31,2020-04-06,Standard Class,CG-00134,Customer 134,Consumer,United States,New Jersey,New Jersey,79615,East,FUR-TEC-0073,Technology,Copiers,Copiers Model 3,944.73,2,0.1,368.1
112,US-0064,2020-03-31,2020-04-06,Standard Class,CG-00123,Customer 123,Consumer,United States,Pennsylvania,Pennsylvania,14847,East,FUR-TEC-0074,Technology,Copiers,Copiers Model 4,11257.86,3,0.1,4257.22
113,US-0817,2020-04-01,2020-04-04,Second Class,CG-00177,Customer 177,Consumer,United States,New York,New York,59958,East,FUR-OFF-0032,Office Supplies,Binders,Binders Model 2,13.69,2,0.1,1.36
114,US-0817,2020-04-01,2020-04-04,Second Class,CG-00177,Customer 177,Consumer,United States,New York,New York,35480,East,FUR-TEC-0085,Technology,Phones,Phones Model 5,310.89,1,0.1,114.37
115,US-0964,2020-04-01,2020-04-05,Second Class,CG-00243,Customer 243,Consumer,United States,Michigan,Michigan,11111,Central,FUR-OFF-0065,Office Supplies,Supplies,Supplies Model 5,8.04,1,0.05,0.6
116,US-0887,2020-04-01,2020-04-06,Standard Class,CG-00029,Customer 29,Home Office,United States,Georgia,Georgia,27590,South,FUR-OFF-0025,Office Supplies,Appliances,Appliances Model 5,1159.84,4,0.0,210.82
117,US-1075,2020-04-02,2020-04-09,Standard Class,CG-00316,Customer 316,Consumer,United States,Arizona,Arizona,75461,West,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,7.61,1,0.0,2.6
118,US-0739,2020-04-03,2020-04-04,Same Day,CG-00302,Customer 302,Home Office,United States,Georgia,Georgia,83537,South,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,14.46,2,0.05,4.73
119,US-0739,2020-04-03,2020-04-04,Same Day,CG-00302,Customer 302,Home Office,United States,Georgia,Georgia,13251,South,FUR-FUR-0009,Furniture,Chairs,Chairs Model 4,1001.67,2,0.0,164.8
120,US-0213,2020-04-04,2020-04-08,Second Class,CG-00025,Customer 25,Home Office,United States,Minnesota,Minnesota,82465,Central,FUR-OFF-0044,Office Supplies,Fasteners,Fasteners Model 4,9.18,1,0.0,2.98
121,US-0213,2020-04-04,2020-04-08,Second Class,CG-00025,Customer 25,Home Office,United States,Minnesota,Minnesota,39427,Central,FUR-FUR-0003,Furniture,Bookcases,Bookcases Model 3,942.71,3,0.2,155.85
122,US-0213,2020-04-04,2020-04-08,Second Class,CG-00025,Customer 25,Home Office,United States,Minnesota,Minnesota,51934,Central,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,218.37,1,0.1,80.03
123,US-0213,2020-04-04,2020-04-08,Second Class,CG-00025,Customer 25,Home Office,United States,Minnesota,Minnesota,84912,Central,FUR-FUR-0017,Furniture,Furnishings,Furnishings Model 2,105.19,1,0.0,1.68
124,US-0712,2020-04-05,2020-04-08,First Class,CG-00296,Customer 296,Consumer,United States,New Jersey,New Jersey,89205,East,FUR-OFF-0043,Office Supplies,Fasteners,Fasteners Model 3,1.11,1,0.15,0.34
125,US-1017,2020-04-05,2020-04-06,Same Day,CG-00390,Customer 390,Corporate,United States,New York,New York,52844,East,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,5.66,2,0.15,0.57
126,US-0727,2020-04-07,2020-04-08,First Class,CG-00225,Customer 225,Corporate,United States,Tennessee,Tennessee,69394,South,FUR-TEC-0078,Technology,Machines,Machines Model 3,629.46,2,0.0,220.59
127,US-0265,2020-04-10,2020-04-12,First Class,CG-00064,Customer 64,Home Office,United States,Florida,Florida,99764,South,FUR-OFF-0057,Office Supplies,Storage,Storage Model 2,16.17,1,0.1,1.97
128,US-0265,2020-04-10,2020-04-12,First Class,CG-00064,Customer 64,Home Office,United States,Florida,Florida,50756,South,FUR-TEC-0078,Technology,Machines,Machines Model 3,314.73,1,0.0,147.98
129,US-0265,2020-04-10,2020-04-12,First Class,CG-00064,Customer 64,Home Office,United States,Florida,Florida,27614,South,FUR-OFF-0057,Office Supplies,Storage,Storage Model 2,17.96,1,0.0,2.49
