Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Quarter,Order Month Name,Order Day of Week,Order Day Name,Processing Days,Is Profitable,Discount Tier,Profit Margin
11,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,67700,South,FUR-TEC-0082,Technology,Phones,Phones Model 2,642.13,1,0.0,113.49,2020,1,1,Jan,1,Tuesday,1,True,No Discount,17.67
12,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,27842,South,FUR-FUR-0019,Furniture,Furnishings,Furnishings Model 4,98.66,1,0.3,-21.42,2020,1,1,Jan,1,Tuesday,1,False,Medium (10-30%),-21.71
13,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,36326,South,FUR-FUR-0008,Furniture,Chairs,Chairs Model 3,489.74,1,0.3,7.3,2020,1,1,Jan,1,Tuesday,1,True,Medium (10-30%),1.49
14,US-0763,2020-01-15,2020-01-22,Standard Class,CG-00267,Customer 267,Corporate,United States,Ohio,Ohio,75578,Central,FUR-FUR-0009,Furniture,Chairs,Chairs Model 4,1402.34,4,0.3,-28.63,2020,1,1,Jan,2,Wednesday,7,False,Medium (10-30%),-2.04
15,US-0907,2020-01-19,2020-01-25,Standard Class,CG-00229,Customer 229,Home Office,United States,Wisconsin,Wisconsin,63833,Central,FUR-FUR-0012,Furniture,Tables,Tables Model 2,3888.67,2,0.0,637.39,2020,1,1,Jan,6,Sunday,6,True,No Discount,16.39
16,US-0272,2020-01-19,2020-01-22,Second Class,CG-00130,Customer 130,Consumer,United States,Virginia,Virginia,94245,South,FUR-TEC-0085,Technology,Phones,Phones Model 5,345.43,1,0.0,44.28,2020,1,1,Jan,6,Sunday,3,True,No Discount,12.82
17,US-0272,2020-01-19,2020-01-22,Second Class,CG-00130,Customer 130,Consumer,United States,Virginia,Virginia,39329,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,393.04,2,0.0,82.48,2020,1,1,Jan,6,Sunday,3,True,No Discount,20.99
18,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,65799,Central,FUR-OFF-0058,Office Supplies,Storage,Storage Model 3,24.87,1,0.1,5.4,2020,1,1,Jan,0,Monday,5,True,Low (0-10%),21.71
19,US-0395,2020-01-20,2020-01-26,Standard Class,CG-00007,Customer 7,Consumer,United States,Colorado,Colorado,79990,West,FUR-OFF-0032,Office Supplies,Binders,Binders Model 2,25.85,4,0.15,3.2,2020,1,1,Jan,0,Monday,6,True,Medium (10-30%),12.38
20,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,13046,Central,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,1115.38,1,0.2,462.78,2020,1,1,Jan,0,Monday,5,True,Medium (10-30%),41.49
21,US-0941,2020-01-20,2020-01-20,Same Day,CG-00098,Customer 98,Home Office,United States,California,California,36518,West,FUR-FUR-0014,Furniture,Tables,Tables Model 4,1628.48,3,0.0,176.6,2020,1,1,Jan,0,Monday,0,True,No Discount,10.84
22,US-0941,2020-01-20,2020-01-20,Same Day,CG-00098,Customer 98,Home Office,United States,California,California,68238,West,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,10.06,1,0.15,2.36,2020,1,1,Jan,0,Monday,0,True,Medium (10-30%),23.46
23,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,80464,Central,FUR-OFF-0043,Office Supplies,Fasteners,Fasteners Model 3,2.36,2,0.1,0.2,2020,1,1,Jan,0,Monday,5,True,Low (0-10%),8.47
24,US-0409,2020-01-22,2020-01-27,Standard Class,CG-00136,Customer 136,Consumer,United States,Oregon,Oregon,74478,West,FUR-OFF-0040,Office Supplies,Envelopes,Envelopes Model 5,15.44,2,0.0,1.43,2020,1,1,Jan,2,Wednesday,5,True,No Discount,9.26
25,US-0939,2020-01-25,2020-01-29,Second Class,CG-00240,Customer 240,Consumer,United States,New Jersey,New Jersey,94473,East,FUR-OFF-0059,Office Supplies,Storage,Storage Model 4,14.07,1,0.0,2.35,2020,1,1,Jan,5,Saturday,4,True,No Discount,16.7
26,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,69867,South,FUR-FUR-0012,Furniture,Tables,Tables Model 2,7777.33,4,0.0,-188.44,2020,1,1,Jan,0,Monday,1,False,No Discount,-2.42
27,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,23276,South,FUR-OFF-0063,Office Supplies,Supplies,Supplies Model 3,63.18,3,0.0,13.78,2020,1,1,Jan,0,Monday,1,True,No Discount,21.81
28,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,21807,South,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,2788.44,2,0.0,687.26,2020,1,1,Jan,0,Monday,1,True,No Discount,24.65
29,US-1045,2020-01-28,2020-01-30,First Class,CG-00155,Customer 155,Home Office,United States,Indiana,Indiana,73485,Central,FUR-TEC-0082,Technology,Phones,Phones Model 2,2054.83,4,0.2,434.82,2020,1,1,Jan,1,Tuesday,2,True,Medium (10-30%),21.16
30,US-1045,2020-01-28,2020-01-30,First Class,CG-00155,Customer 155,Home Office,United States,Indiana,Indiana,93859,Central,FUR-OFF-0050,Office Supplies,Labels,Labels Model 5,4.53,1,0.15,0.99,2020,1,1,Jan,1,Tuesday,2,True,Medium (10-30%),21.85
31,US-0531,2020-01-30,2020-02-02,First Class,CG-00160,Customer 160,Corporate,United States,Utah,Utah,96396,West,FUR-OFF-0031,Office Supplies,Binders,Binders Model 1,38.81,2,0.0,4.87,2020,1,1,Jan,3,Thursday,3,True,No Discount,12.55
32,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,85951,East,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,3.0,1,0.1,0.43,2020,1,1,Jan,3,Thursday,3,True,Low (0-10%),14.33
33,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,64758,East,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,5576.88,4,0.0,2437.73,2020,1,1,Jan,3,Thursday,3,True,No Discount,43.71
34,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,29525,East,FUR-FUR-0002,Furniture,Bookcases,Bookcases Model 2,336.2,1,0.3,-13.62,2020,1,1,Jan,3,Thursday,3,False,Medium (10-30%),-4.05
35,US-0971,2020-01-31,2020-02-06,Standard Class,CG-00184,Customer 184,Home Office,United States,Texas,Texas,75393,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,982.61,5,0.0,69.6,2020,1,1,Jan,4,Friday,6,True,No Discount,7.08
36,US-0467,2020-01-31,2020-02-01,Same Day,CG-00354,Customer 354,Home Office,United States,Wisconsin,Wisconsin,36812,Central,FUR-OFF-0034,Office Supplies,Binders,Binders Model 4,57.24,2,0.0,11.33,2020,1,1,Jan,4,Friday,1,True,No Discount,19.79
37,US-0971,2020-01-31,2020-02-06,Standard Class,CG-00184,Customer 184,Home Office,United States,Texas,Texas,32245,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,186.7,1,0.05,31.76,2020,1,1,Jan,4,Friday,6,True,Low (0-10%),17.01
38,US-0757,2020-02-02,2020-02-02,Same Day,CG-00010,Customer 10,Corporate,United States,Georgia,Georgia,64154,South,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,13.32,4,0.0,2.85,2020,2,1,Feb,6,Sunday,0,True,No Discount,21.4
39,US-0148,2020-02-02,2020-02-04,Same Day,CG-00336,Customer 336,Home Office,United States,Georgia,Georgia,20084,South,FUR-OFF-0055,Office Supplies,Paper,Paper Model 5,70.0,3,0.1,21.5,2020,2,1,Feb,6,Sunday,2,True,Low (0-10%),30.71
40,US-0757,2020-02-02,2020-02-02,Same Day,CG-00010,Customer 10,Corporate,United States,Georgia,Georgia,10560,South,FUR-FUR-0003,Furniture,Bookcases,Bookcases Model 3,314.24,1,0.2,35.76,2020,2,1,Feb,6,Sunday,0,True,Medium (10-30%),11.38
41,US-0694,2020-02-03,2020-02-10,Standard Class,CG-00279,Customer 279,Consumer,United States,Illinois,Illinois,15932,Central,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,8.99,3,0.1,0.86,2020,2,1,Feb,0,Monday,7,True,Low (0-10%),9.57
42,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,65191,East,FUR-OFF-0036,Office Supplies,Envelopes,Envelopes Model 1,21.27,2,0.15,3.11,2020,2,1,Feb,2,Wednesday,6,True,Medium (10-30%),14.62
43,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,55789,East,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,47.36,4,0.0,4.25,2020,2,1,Feb,2,Wednesday,6,True,No Discount,8.97
44,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,48626,East,FUR-FUR-0008,Furniture,Chairs,Chairs Model 3,699.63,1,0.0,145.75,2020,2,1,Feb,2,Wednesday,6,True,No Discount,20.83
45,US-0953,2020-02-05,2020-02-11,Standard Class,CG-00232,Customer 232,Home Office,United States,New York,New York,17322,East,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,2.1,1,0.0,0.17,2020,2,1,Feb,2,Wednesday,6,True,No Discount,8.1
46,US-0698,2020-02-06,2020-02-11,Standard Class,CG-00216,Customer 216,Corporate,United States,Georgia,Georgia,63096,South,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,436.75,2,0.1,97.09,2020,2,1,Feb,3,Thursday,5,True,Low (0-10%),22.23
47,US-0548,2020-02-08,2020-02-09,First Class,CG-00327,Customer 327,Corporate,United States,Colorado,Colorado,97111,West,FUR-OFF-0021,Office Supplies,Appliances,Appliances Model 1,378.76,1,0.0,102.59,2020,2,1,Feb,5,Saturday,1,True,No Discount,27.09
48,US-0548,2020-02-08,2020-02-09,First Class,CG-00327,Customer 327,Corporate,United States,Colorado,Colorado,53231,West,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,3.27,1,0.0,1.01,2020,2,1,Feb,5,Saturday,1,True,No Discount,30.89
49,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,52568,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,196.52,1,0.0,65.36,2020,2,1,Feb,5,Saturday,3,True,No Discount,33.26
50,US-1098,2020-02-08,2020-02-10,First Class,CG-00141,Customer 141,Corporate,United States,Pennsylvania,Pennsylvania,34173,East,FUR-OFF-0062,Office Supplies,Supplies,Supplies Model 2,7.42,1,0.1,0.78,2020,2,1,Feb,5,Saturday,2,True,Low (0-10%),10.51
51,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,47947,South,FUR-TEC-0070,Technology,Accessories,Accessories Model 5,799.73,3,0.1,205.01,2020,2,1,Feb,5,Saturday,3,True,Low (0-10%),25.63
52,US-0033,2020-02-08,2020-02-11,Second Class,CG-00355,Customer 355,Consumer,United States,Tennessee,Tennessee,63008,South,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,5.56,2,0.15,0.28,2020,2,1,Feb,5,Saturday,3,True,Medium (10-30%),5.04
53,US-0239,2020-02-10,2020-02-13,Second Class,CG-00393,Customer 393,Home Office,United States,Wisconsin,Wisconsin,54663,Central,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,6.66,2,0.0,1.99,2020,2,1,Feb,0,Monday,3,True,No Discount,29.88
54,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,56818,East,FUR-FUR-0013,Furniture,Tables,Tables Model 3,3380.04,2,0.0,-42.24,2020,2,1,Feb,2,Wednesday,6,False,No Discount,-1.25
55,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,85705,East,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,485.27,2,0.0,106.36,2020,2,1,Feb,2,Wednesday,6,True,No Discount,21.92
56,US-1046,2020-02-12,2020-02-18,Standard Class,CG-00342,Customer 342,Home Office,United States,Massachusetts,Massachusetts,57109,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,243.71,3,0.2,24.16,2020,2,1,Feb,2,Wednesday,6,True,Medium (10-30%),9.91
57,US-0124,2020-02-16,2020-02-17,Same Day,CG-00298,Customer 298,Consumer,United States,New York,New York,70375,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,328.53,3,0.0,51.11,2020,2,1,Feb,6,Sunday,1,True,No Discount,15.56
58,US-0124,2020-02-16,2020-02-17,Same Day,CG-00298,Customer 298,Consumer,United States,New York,New York,59712,East,FUR-OFF-0052,Office Supplies,Paper,Paper Model 2,54.62,2,0.15,16.39,2020,2,1,Feb,6,Sunday,1,True,Medium (10-30%),30.01
59,US-0600,2020-02-16,2020-02-22,Standard Class,CG-00382,Customer 382,Consumer,United States,Georgia,Georgia,61697,South,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,32.35,5,0.15,11.04,2020,2,1,Feb,6,Sunday,6,True,Medium (10-30%),34.13
60,US-0600,2020-02-16,2020-02-22,Standard Class,CG-00382,Customer 382,Consumer,United States,Georgia,Georgia,89058,South,FUR-OFF-0030,Office Supplies,Art,Art Model 5,6.74,1,0.05,1.55,2020,2,1,Feb,6,Sunday,6,True,Low (0-10%),23.0
61,US-1005,2020-02-17,2020-02-20,Second Class,CG-00043,Customer 43,Home Office,United States,New Jersey,New Jersey,13866,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,101.54,1,0.0,-3.76,2020,2,1,Feb,0,Monday,3,False,No Discount,-3.7
62,US-0795,2020-02-20,2020-02-25,Standard Class,CG-00044,Customer 44,Corporate,United States,Arizona,Arizona,48603,West,FUR-FUR-0013,Furniture,Tables,Tables Model 3,1690.02,1,0.0,4.96,2020,2,1,Feb,3,Thursday,5,True,No Discount,0.29
63,US-0073,2020-02-23,2020-02-25,First Class,CG-00177,Customer 177,Consumer,United States,New York,New York,44311,East,FUR-FUR-0020,Furniture,Furnishings,Furnishings Model 5,406.18,4,0.0,59.95,2020,2,1,Feb,6,Sunday,2,True,No Discount,14.76
64,US-0073,2020-02-23,2020-02-25,First Class,CG-00177,Customer 177,Consumer,United States,New York,New York,38124,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,295.68,3,0.1,39.17,2020,2,1,Feb,6,Sunday,2,True,Low (0-10%),13.25
65,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,69468,East,FUR-OFF-0065,Office Supplies,Supplies,Supplies Model 5,25.38,3,0.0,2.46,2020,2,1,Feb,2,Wednesday,5,True,No Discount,9.69
66,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,34452,East,FUR-OFF-0025,Office Supplies,Appliances,Appliances Model 5,550.92,2,0.05,179.59,2020,2,1,Feb,2,Wednesday,5,True,Low (0-10%),32.6
67,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,48918,East,FUR-TEC-0079,Technology,Machines,Machines Model 4,1139.55,1,0.0,467.96,2020,2,1,Feb,2,Wednesday,5,True,No Discount,41.07
68,US-0999,2020-02-26,2020-03-02,Second Class,CG-00198,Customer 198,Corporate,United States,New York,New York,13314,East,FUR-OFF-0040,Office Supplies,Envelopes,Envelopes Model 5,6.95,1,0.1,1.11,2020,2,1,Feb,2,Wednesday,5,True,Low (0-10%),15.97
69,US-0852,2020-03-01,2020-03-05,Second Class,CG-00052,Customer 52,Corporate,United States,Utah,Utah,18002,West,FUR-OFF-0035,Office Supplies,Binders,Binders Model 5,87.22,3,0.0,4.57,2020,3,1,Mar,6,Sunday,4,True,No Discount,5.24
70,US-0210,2020-03-01,2020-03-07,Standard Class,CG-00275,Customer 275,Consumer,United States,Indiana,Indiana,92251,Central,FUR-OFF-0053,Office Supplies,Paper,Paper Model 3,32.2,1,0.15,9.36,2020,3,1,Mar,6,Sunday,6,True,Medium (10-30%),29.07
71,US-0229,2020-03-01,2020-03-07,Standard Class,CG-00279,Customer 279,Consumer,United States,Illinois,Illinois,46042,Central,FUR-OFF-0038,Office Supplies,Envelopes,Envelopes Model 3,3.27,1,0.0,0.67,2020,3,1,Mar,6,Sunday,6,True,No Discount,20.49
72,US-0459,2020-03-01,2020-03-02,Same Day,CG-00388,Customer 388,Corporate,United States,Oregon,Oregon,96105,West,FUR-OFF-0044,Office Supplies,Fasteners,Fasteners Model 4,8.27,1,0.1,2.5,2020,3,1,Mar,6,Sunday,1,True,Low (0-10%),30.23
73,US-0492,2020-03-04,2020-03-10,Standard Class,CG-00241,Customer 241,Home Office,United States,Wisconsin,Wisconsin,89388,Central,FUR-TEC-0077,Technology,Machines,Machines Model 2,5608.04,3,0.2,1841.08,2020,3,1,Mar,2,Wednesday,6,True,Medium (10-30%),32.83
74,US-0492,2020-03-04,2020-03-10,Standard Class,CG-00241,Customer 241,Home Office,United States,Wisconsin,Wisconsin,25315,Central,FUR-OFF-0047,Office Supplies,Labels,Labels Model 2,6.47,1,0.15,1.8,2020,3,1,Mar,2,Wednesday,6,True,Medium (10-30%),27.82
75,US-0071,2020-03-07,2020-03-12,Second Class,CG-00336,Customer 336,Home Office,United States,Georgia,Georgia,20077,South,FUR-TEC-0083,Technology,Phones,Phones Model 3,327.92,1,0.1,43.75,2020,3,1,Mar,5,Saturday,5,True,Low (0-10%),13.34
76,US-0581,2020-03-07,2020-03-13,Standard Class,CG-00128,Customer 128,Home Office,United States,Ohio,Ohio,91324,Central,FUR-OFF-0061,Office Supplies,Supplies,Supplies Model 1,32.82,3,0.0,10.47,2020,3,1,Mar,5,Saturday,6,True,No Discount,31.9
77,US-0581,2020-03-07,2020-03-13,Standard Class,CG-00128,Customer 128,Home Office,United States,Ohio,Ohio,37151,Central,FUR-TEC-0081,Technology,Phones,Phones Model 1,1391.92,2,0.2,374.97,2020,3,1,Mar,5,Saturday,6,True,Medium (10-30%),26.94
78,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,82034,East,FUR-TEC-0082,Technology,Phones,Phones Model 2,642.13,1,0.0,169.24,2020,3,1,Mar,0,Monday,7,True,No Discount,26.36
79,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,71974,East,FUR-FUR-0014,Furniture,Tables,Tables Model 4,1085.65,2,0.0,212.01,2020,3,1,Mar,0,Monday,7,True,No Discount,19.53
80,US-0126,2020-03-09,2020-03-14,Second Class,CG-00156,Customer 156,Home Office,United States,Arizona,Arizona,38477,West,FUR-OFF-0039,Office Supplies,Envelopes,Envelopes Model 4,18.52,2,0.15,5.23,2020,3,1,Mar,0,Monday,5,True,Medium (10-30%),28.24
81,US-0126,2020-03-09,2020-03-14,Second Class,CG-00156,Customer 156,Home Office,United States,Arizona,Arizona,62725,West,FUR-TEC-0081,Technology,Phones,Phones Model 1,869.95,1,0.0,250.27,2020,3,1,Mar,0,Monday,5,True,No Discount,28.77
82,US-0418,2020-03-09,2020-03-16,Standard Class,CG-00165,Customer 165,Home Office,United States,New Jersey,New Jersey,52344,East,FUR-FUR-0018,Furniture,Furnishings,Furnishings Model 3,150.24,1,0.1,20.54,2020,3,1,Mar,0,Monday,7,True,Low (0-10%),13.67
83,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,69840,East,FUR-OFF-0036,Office Supplies,Envelopes,Envelopes Model 1,10.63,1,0.15,1.3,2020,3,1,Mar,3,Thursday,2,True,Medium (10-30%),12.23
84,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,45705,East,FUR-OFF-0059,Office Supplies,Storage,Storage Model 4,23.92,2,0.15,5.79,2020,3,1,Mar,3,Thursday,2,True,Medium (10-30%),24.21
85,US-0406,2020-03-12,2020-03-14,First Class,CG-00115,Customer 115,Corporate,United States,Pennsylvania,Pennsylvania,80685,East,FUR-TEC-0085,Technology,Phones,Phones Model 5,690.87,2,0.0,337.79,2020,3,1,Mar,3,Thursday,2,True,No Discount,48.89
86,US-0490,2020-03-13,2020-03-17,Second Class,CG-00317,Customer 317,Corporate,United States,Michigan,Michigan,53923,Central,FUR-TEC-0067,Technology,Accessories,Accessories Model 2,81.39,2,0.2,11.87,2020,3,1,Mar,4,Friday,4,True,Medium (10-30%),14.58
87,US-0986,2020-03-15,2020-03-20,Standard Class,CG-00028,Customer 28,Corporate,United States,Massachusetts,Massachusetts,88766,East,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,4.2,2,0.0,0.8,2020,3,1,Mar,6,Sunday,5,True,No Discount,19.05
88,US-0364,2020-03-20,2020-03-23,First Class,CG-00375,Customer 375,Corporate,United States,Wisconsin,Wisconsin,80685,Central,FUR-OFF-0048,Office Supplies,Labels,Labels Model 3,9.66,1,0.15,3.09,2020,3,1,Mar,4,Friday,3,True,Medium (10-30%),31.99
89,US-0364,2020-03-20,2020-03-23,First Class,CG-00375,Customer 375,Corporate,United States,Wisconsin,Wisconsin,96427,Central,FUR-FUR-0013,Furniture,Tables,Tables Model 3,1352.02,1,0.2,327.59,2020,3,1,Mar,4,Friday,3,True,Medium (10-30%),24.23
90,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,80070,East,FUR-OFF-0058,Office Supplies,Storage,Storage Model 3,138.19,5,0.0,31.82,2020,3,1,Mar,5,Saturday,4,True,No Discount,23.03
91,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,94202,East,FUR-OFF-0042,Office Supplies,Fasteners,Fasteners Model 2,5.46,1,0.0,1.21,2020,3,1,Mar,5,Saturday,4,True,No Discount,22.16
92,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,92927,East,FUR-OFF-0022,Office Supplies,Appliances,Appliances Model 2,104.04,1,0.05,28.12,2020,3,1,Mar,5,Saturday,4,True,Low (0-10%),27.03
93,US-0931,2020-03-21,2020-03-25,Second Class,CG-00185,Customer 185,Corporate,United States,New York,New York,52540,East,FUR-OFF-0057,Office Supplies,Storage,Storage Model 2,34.13,2,0.05,9.19,2020,3,1,Mar,5,Saturday,4,True,Low (0-10%),26.93
94,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,37762,East,FUR-FUR-0015,Furniture,Tables,Tables Model 5,2431.88,5,0.0,-47.69,2020,3,1,Mar,5,Saturday,1,False,No Discount,-1.96
95,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,38444,East,FUR-OFF-0055,Office Supplies,Paper,Paper Model 5,44.08,2,0.15,6.85,2020,3,1,Mar,5,Saturday,1,True,Medium (10-30%),15.54
96,US-0133,2020-03-21,2020-03-22,First Class,CG-00146,Customer 146,Consumer,United States,Massachusetts,Massachusetts,49739,East,FUR-TEC-0068,Technology,Accessories,Accessories Model 3,485.27,2,0.0,115.52,2020,3,1,Mar,5,Saturday,1,True,No Discount,23.81
97,US-0327,2020-03-22,2020-03-28,Standard Class,CG-00133,Customer 133,Home Office,United States,Wisconsin,Wisconsin,96755,Central,FUR-OFF-0033,Office Supplies,Binders,Binders Model 3,12.13,3,0.15,2.28,2020,3,1,Mar,6,Sunday,6,True,Medium (10-30%),18.8
98,US-0327,2020-03-22,2020-03-28,Standard Class,CG-00133,Customer 133,Home Office,United States,Wisconsin,Wisconsin,82110,Central,FUR-TEC-0077,Technology,Machines,Machines Model 2,1869.35,1,0.2,593.17,2020,3,1,Mar,6,Sunday,6,True,Medium (10-30%),31.73
